event_key,fecha,n_noticias_emm,gdelt_vol,n_fuentes,n_chatmap,snapshot_date
EQ1557236,2026-08-08,\N,0.0122,\N,\N,2026-08-15
EQ1557236,2026-08-08,\N,0.0122,\N,\N,2026-08-16
EQ1557236,2026-08-08,\N,0.0122,\N,\N,2026-08-18
EQ1557236,2026-08-08,\N,0.0122,\N,\N,2026-08-21
EQ1557236,2026-08-09,\N,0.0165,\N,\N,2026-08-15
EQ1557236,2026-08-09,\N,0.0165,\N,\N,2026-08-16
EQ1557236,2026-08-09,\N,0.0165,\N,\N,2026-08-18
EQ1557236,2026-08-09,\N,0.0165,\N,\N,2026-08-21
EQ1557236,2026-08-10,1042,1.8642,409,45,2026-08-15
EQ1557236,2026-08-10,1042,1.8642,409,45,2026-08-16
EQ1557236,2026-08-10,1042,1.8642,409,45,2026-08-18
EQ1557236,2026-08-10,1042,1.8642,409,45,2026-08-21
EQ1557236,2026-08-10,1042,\N,409,45,2026-08-22
EQ1557236,2026-08-10,1042,\N,409,45,2026-08-23
EQ1557236,2026-08-10,1042,\N,409,45,2026-08-24
EQ1557236,2026-08-11,918,2.6773,467,93,2026-08-15
EQ1557236,2026-08-11,918,2.6773,467,93,2026-08-16
EQ1557236,2026-08-11,918,2.6773,467,93,2026-08-18
EQ1557236,2026-08-11,918,2.6773,467,93,2026-08-21
EQ1557236,2026-08-11,918,\N,467,93,2026-08-22
EQ1557236,2026-08-11,918,\N,467,93,2026-08-23
EQ1557236,2026-08-11,918,\N,467,93,2026-08-24
EQ1557236,2026-08-12,557,1.5606,344,84,2026-08-15
EQ1557236,2026-08-12,557,1.5606,344,84,2026-08-16
EQ1557236,2026-08-12,557,1.5606,344,84,2026-08-18
EQ1557236,2026-08-12,557,1.5606,344,84,2026-08-21
EQ1557236,2026-08-12,557,\N,344,84,2026-08-22
EQ1557236,2026-08-12,557,\N,344,84,2026-08-23
EQ1557236,2026-08-12,557,\N,344,84,2026-08-24
EQ1557236,2026-08-13,301,1.08,200,123,2026-08-15
EQ1557236,2026-08-13,301,1.08,200,123,2026-08-16
EQ1557236,2026-08-13,301,1.08,200,123,2026-08-18
EQ1557236,2026-08-13,301,1.08,200,123,2026-08-21
EQ1557236,2026-08-13,301,\N,200,123,2026-08-22
EQ1557236,2026-08-13,301,\N,200,123,2026-08-23
EQ1557236,2026-08-13,301,\N,200,123,2026-08-24
EQ1557236,2026-08-14,93,0.848,71,77,2026-08-15
EQ1557236,2026-08-14,93,0.848,71,77,2026-08-16
EQ1557236,2026-08-14,93,0.848,71,77,2026-08-18
EQ1557236,2026-08-14,93,0.848,71,77,2026-08-21
EQ1557236,2026-08-14,93,\N,71,77,2026-08-22
EQ1557236,2026-08-14,93,\N,71,77,2026-08-23
EQ1557236,2026-08-14,93,\N,71,77,2026-08-24
EQ1557236,2026-08-15,\N,0.8729,\N,8,2026-08-15
EQ1557236,2026-08-15,\N,0.9958,\N,14,2026-08-16
EQ1557236,2026-08-15,\N,0.9958,\N,14,2026-08-18
EQ1557236,2026-08-15,\N,0.9958,\N,14,2026-08-21
EQ1557236,2026-08-15,\N,\N,\N,14,2026-08-22
EQ1557236,2026-08-15,\N,\N,\N,14,2026-08-23
EQ1557236,2026-08-15,\N,\N,\N,14,2026-08-24
EQ1557236,2026-08-16,\N,0.6941,\N,\N,2026-08-16
EQ1557236,2026-08-16,\N,0.7414,\N,0,2026-08-18
EQ1557236,2026-08-16,\N,0.7414,\N,0,2026-08-21
EQ1557236,2026-08-16,\N,\N,\N,0,2026-08-22
EQ1557236,2026-08-16,\N,\N,\N,0,2026-08-23
EQ1557236,2026-08-16,\N,\N,\N,0,2026-08-24
EQ1557236,2026-08-17,\N,0.4561,\N,3,2026-08-18
EQ1557236,2026-08-17,\N,0.4561,\N,3,2026-08-21
EQ1557236,2026-08-17,\N,\N,\N,3,2026-08-22
EQ1557236,2026-08-17,\N,\N,\N,3,2026-08-23
EQ1557236,2026-08-17,\N,\N,\N,3,2026-08-24
EQ1557236,2026-08-18,\N,0.7893,\N,\N,2026-08-18
EQ1557236,2026-08-18,\N,0.5787,\N,22,2026-08-21
EQ1557236,2026-08-18,\N,\N,\N,22,2026-08-22
EQ1557236,2026-08-18,\N,\N,\N,22,2026-08-23
EQ1557236,2026-08-18,\N,\N,\N,22,2026-08-24
EQ1557236,2026-08-19,\N,0.5095,\N,0,2026-08-21
EQ1557236,2026-08-19,\N,\N,\N,0,2026-08-22
EQ1557236,2026-08-19,\N,\N,\N,0,2026-08-23
EQ1557236,2026-08-19,\N,\N,\N,0,2026-08-24
EQ1557236,2026-08-20,\N,0.3937,\N,55,2026-08-21
EQ1557236,2026-08-20,\N,\N,\N,55,2026-08-22
EQ1557236,2026-08-20,\N,\N,\N,55,2026-08-23
EQ1557236,2026-08-20,\N,\N,\N,55,2026-08-24
EQ1557236,2026-08-21,\N,0.4747,\N,\N,2026-08-21
EQ1557236,2026-08-21,\N,\N,\N,26,2026-08-22
EQ1557236,2026-08-21,\N,\N,\N,26,2026-08-23
EQ1557236,2026-08-21,\N,\N,\N,26,2026-08-24
EQ1557236,2026-08-22,\N,\N,\N,80,2026-08-23
EQ1557236,2026-08-22,\N,\N,\N,80,2026-08-24
EQ1557236,2026-08-23,\N,\N,\N,0,2026-08-24
