cod_dane,snapshot_date,cod_establecimiento,nombre_establecimiento,nombre_sede,sede_principal,sector,correo_institucional,direccion,telefono,niveles,zona,cod_dep,nom_dep,cod_mun,nom_mun,cat_mun,mun_pdet,mun_zomac,nom_reg,cod_etc,nom_etc,total_matricula,matricula_prel,estado_fisico,confianza_geo,lat,lon,ausente_desde,first_seen
117001000033,2026-08-29,117001000033,INSTITUCIÓN EDUCATIVA SIETE DE AGOSTO,INSTITUCIÓN EDUCATIVA SIETE DE AGOSTO,S,OFICIAL,IESIETEDEAGOSTO@SEMMANIZALES.EDU.CO,KR 28 18 48,8722402,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,343.0,343.0,Afectación menor,2 - MEDIA,5.063610999801884,-75.51972200009361,\N,2026-08-29T08:58:22Z
117001000157,2026-08-29,117001000157,INSTITUCIÓN EDUCATIVA INSTITUTO CHIPRE,INSTITUCIÓN EDUCATIVA INSTITUTO CHIPRE,S,OFICIAL,ICHIPRE@EPM.NET.CO,KR 6 A 7 21,8827638,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,518.0,518.0,Afectación menor,2 - MEDIA,5.079926649905271,-75.5266405603072,\N,2026-08-29T08:58:22Z
117001000165,2026-08-29,117001000165,INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR DE MANIZALES,INSTITUCIÓN EDUCATIVA ESCUELA NORMAL SUPERIOR DE MANIZALES,S,OFICIAL,IENORMALDEMANIZALES@SEMMANIZALES.EDU.CO,CL 58 26 70,8852111,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,1658.0,1649.0,Afectación menor,2 - MEDIA,5.059444000155802,-75.49027799997609,\N,2026-08-29T08:58:22Z
117001000459,2026-08-29,117001005965,INSTITUCIÓN EDUCATIVA INSTITUTO PABLO VI,INSTITUCION EDUCATIVA INSTITUTO PABLO VI SEDE B,N,OFICIAL,IEPABLOVI@SEMMANIZALES.EDU.CO,KR 29 13 45,8832837,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,216.0,216.0,Afectación parcial,2 - MEDIA,5.062777999674039,-75.52305600025257,\N,2026-08-29T08:58:22Z
117001000467,2026-08-29,117001000602,INSTITUCIÓN EDUCATIVA EUGENIO PACELLI,INSTITUCIÓN EDUCATIVA EUGENIO PACELLI SEDE A,N,OFICIAL,CBOLIVARIANA@MULTI.NET.CO,CALLE 62 CARRERA 35,8876653,"PREESCOLAR,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,193.0,193.0,Sin afectación,2 - MEDIA,5.0533329999392915,-75.50083299974861,\N,2026-08-29T08:58:22Z
117001000513,2026-08-29,117001000998,INSTITUCIÓN EDUCATIVA LEONARDO DA VINCI,INSTITUCIÓN EDUCATIVA LEONARDO DA VINCI SEDE A,N,OFICIAL,IELEONARDODAVINCI@SEMMANIZALES.EDU.CO,CALLE 32 CARRERA 32 NO 32-50,8832317,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,109.0,109.0,Sin afectación,2 - MEDIA,5.061943999863356,-75.51111100041,\N,2026-08-29T08:58:22Z
117001000530,2026-08-29,117001000157,INSTITUCIÓN EDUCATIVA INSTITUTO CHIPRE,INSTITUCIÓN EDUCATIVA INSTITUTO CHIPRE SEDE B,N,OFICIAL,IECHIPRE@SEMMANIZALES.EDU.CO,KR 13 CL 12,8832869,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,542.0,479.0,Afectación menor,2 - MEDIA,5.073889000047325,-75.52500000034148,\N,2026-08-29T08:58:22Z
117001000572,2026-08-29,117001000572,INSTITUCIÓN EDUCATIVA GRAN COLOMBIA,INSTITUCIÓN EDUCATIVA GRAN COLOMBIA,S,OFICIAL,IEGRANCOLOMBIA@SEMMANIZALES.EDU.CO,CL 24 KR 26 Y 27,8832477,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,234.0,174.0,Colapso parcial,2 - MEDIA,5.065000000279574,-75.51611099992522,\N,2026-08-29T08:58:22Z
117001000602,2026-08-29,117001000602,INSTITUCIÓN EDUCATIVA EUGENIO PACELLI,INSTITUCIÓN EDUCATIVA EUGENIO PACELLI,S,OFICIAL,IEEUGENIOPACELLI@SEMMANIZALES.EDU.CO,CALLE 63A CARRERA 36,8788440,"MEDIA,BÁSICA SECUNDARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,204.0,204.0,Afectación menor,2 - MEDIA,5.051944000375197,-75.50166700014996,\N,2026-08-29T08:58:22Z
117001000611,2026-08-29,117001000611,INSTITUCIÓN EDUCATIVA INSTITUTO LATINOAMERICANO,INSTITUCIÓN EDUCATIVA INSTITUTO LATINOAMERICANO,S,OFICIAL,IELATINOAMERICANO@SEMMANIZALES.EDU.CO,KR 28 47 48,8854331,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",URBANA,17,CALDAS,17001,MANIZALES,MUNICIPIO,NO,NO,NO APLICA,3774,SECRETARÍA DE EDUCACIÓN DE MANIZALES,466.0,427.0,Afectación menor,2 - MEDIA,5.0620440004381475,-75.50259000023978,\N,2026-08-29T08:58:22Z
