sitrep_n,idx,fecha_corte,ambito,concepto,valor,valor_raw,nivel_complejidad,autor,fuente_citada,nota,first_seen
1,0,2026-08-10,nacional,ips_reportadas_monitoreo_ops,24.0,24,\N,Secretarías de salud y consultores OPS/OMS en terreno,"Monitoreo conjunto secretarías de salud + OPS/OMS, corte 10-ago-2026 13:30","Recuento preliminar por monitoreo directo, no por reporte UNGRD; sujeto a cambios.",2026-08-30T11:06:29Z
2,0,2026-08-10,nacional,ips_reportadas_monitoreo_ops,24.0,24,\N,Secretarías de salud y consultores OPS/OMS en terreno,"Monitoreo conjunto secretarías de salud + OPS/OMS, corte 10-ago-2026 19:30","El párrafo del sitrep cita corte 17:30 y la Tabla 1 cita 19:30 — discrepancia del propio documento, se conserva la de la tabla.",2026-08-30T11:06:31Z
3,0,2026-08-11,nacional,ips_reportadas_ungrd,109.0,109,\N,UNGRD,"Reporte Situacional No. 009, UNGRD, corte 11-ago-2026 17:00",\N,2026-08-30T11:06:31Z
4,0,2026-08-13,Caldas,ips_identificadas_msps,4.0,4,1,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,1,2026-08-13,Caldas,ips_identificadas_msps,2.0,2,2,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,2,2026-08-13,Caldas,ips_identificadas_msps,2.0,2,3,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,3,2026-08-13,Caldas,ips_identificadas_msps,\N,-,4,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,4,2026-08-13,Caldas,ips_identificadas_msps,8.0,8,\N,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",Total del departamento (fila 'Total general' de la matriz para esta columna).,2026-08-30T11:06:32Z
4,5,2026-08-13,Cauca,ips_identificadas_msps,2.0,2,1,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,6,2026-08-13,Cauca,ips_identificadas_msps,2.0,2,2,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,7,2026-08-13,Cauca,ips_identificadas_msps,1.0,1,3,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,8,2026-08-13,Cauca,ips_identificadas_msps,1.0,1,4,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,9,2026-08-13,Cauca,ips_identificadas_msps,6.0,6,\N,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",Total del departamento (fila 'Total general' de la matriz para esta columna).,2026-08-30T11:06:32Z
4,10,2026-08-13,Chocó,ips_identificadas_msps,26.0,26,1,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,11,2026-08-13,Chocó,ips_identificadas_msps,2.0,2,2,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,12,2026-08-13,Chocó,ips_identificadas_msps,\N,-,3,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,13,2026-08-13,Chocó,ips_identificadas_msps,\N,-,4,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,14,2026-08-13,Chocó,ips_identificadas_msps,28.0,28,\N,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",Total del departamento (fila 'Total general' de la matriz para esta columna).,2026-08-30T11:06:32Z
4,15,2026-08-13,Quindío,ips_identificadas_msps,\N,-,1,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
4,16,2026-08-13,Quindío,ips_identificadas_msps,\N,-,2,Ministerio de Salud y Protección Social y secretarías de salud territoriales,"Sitrep 4 OPS/OMS, Tabla 2, corte 13-ago-2026 07:00h",\N,2026-08-30T11:06:32Z
