sitrep_n,idx,fecha_corte,departamento_literal,municipio_literal,municipio_slug,nombre_ips,nivel_complejidad,observacion,first_seen
1,0,2026-08-10,Cauca,Popayán,popayan,Clínica La Estancia,Nivel 3,Daños por confirmar,2026-08-30T11:06:29Z
1,1,2026-08-10,Cauca,Popayán,popayan,Clínica San Rafael,Nivel 2,Daños por confirmar,2026-08-30T11:06:29Z
1,2,2026-08-10,Cauca,Popayán,popayan,Clínica Santa Gracia,Nivel 4,Daños por confirmar,2026-08-30T11:06:29Z
1,3,2026-08-10,Cauca,Popayán,popayan,Hospital Susana López,Nivel 2,"Algunos daños, en verificación",2026-08-30T11:06:30Z
1,4,2026-08-10,Cauca,Toribío,toribio,Hospital de Toribío,Nivel 1,Con daños. Pendiente verificación,2026-08-30T11:06:30Z
1,5,2026-08-10,Cauca,El Tambo,el-tambo,Hospital de El Tambo,Nivel 1,Con daños. Pendiente verificación,2026-08-30T11:06:30Z
1,6,2026-08-10,Chocó,Quibdó,quibdo,San Francisco de Asis,Nivel 2,Con daños en evaluación,2026-08-30T11:06:30Z
1,7,2026-08-10,Chocó,Quibdó,quibdo,Hospital Local Ismael Roldán,Nivel 1,"Con daños en evaluación, con servicios de hospitalización y Triage afuera del Hospital",2026-08-30T11:06:30Z
1,8,2026-08-10,Caldas,Manizales,manizales,Hospital Santa Sofía,Nivel 2,Pendiente verificación,2026-08-30T11:06:30Z
1,9,2026-08-10,Risaralda,Pereira,pereira,Clínica Megacentro,Nivel 4,"Daños no estructurales, preliminar",2026-08-30T11:06:30Z
1,10,2026-08-10,Risaralda,Pereira,pereira,Hospital Santa Mónica,Nivel 2,"Daños no estructurales, preliminar",2026-08-30T11:06:30Z
1,11,2026-08-10,Valle del Cauca,Cali,cali,Hospital Universitario del Valle,Nivel 3,Colapso estructural de una parte de una torre.,2026-08-30T11:06:30Z
1,12,2026-08-10,Valle del Cauca,Cali,cali,Clínica Valle Salud,Por confirmar,Daños por confirmar,2026-08-30T11:06:30Z
1,13,2026-08-10,Valle del Cauca,Cali,cali,Fundación Valle del Lili,Nivel 4,Daños no estructurales,2026-08-30T11:06:30Z
