paquete_sha,capa,idx,producto_id,municipio,departamento,dano,tipo,sensor,sensor_date,metodo,copyright,lat,lon,first_seen,snapshot_date
1bb3d8ca195d626bea942b16e6e64ca8ef606cd2ce85c2d120081ebaacba6aba,UrbanP,0,3244,Pereira,Risaralda,Damaged,Residential,Pleiades,2026/08/11 15:54 UTC,Photo-interpretation,© ICube-SERTIT 2026,4.813391195000065,-75.68891178799998,2026-08-21T09:23:55Z,2026-08-31
1bb3d8ca195d626bea942b16e6e64ca8ef606cd2ce85c2d120081ebaacba6aba,UrbanP,1,3244,Pereira,Risaralda,Damaged,Residential,Pleiades,2026/08/11 15:54 UTC,Photo-interpretation,© ICube-SERTIT 2026,4.813399066000045,-75.68901516499994,2026-08-21T09:23:55Z,2026-08-31
1bb3d8ca195d626bea942b16e6e64ca8ef606cd2ce85c2d120081ebaacba6aba,UrbanP,2,3244,Pereira,Risaralda,Destroyed,Residential,Pleiades,2026/08/11 15:54 UTC,Photo-interpretation,© ICube-SERTIT 2026,4.813094673000023,-75.68871111199996,2026-08-21T09:23:55Z,2026-08-31
1bb3d8ca195d626bea942b16e6e64ca8ef606cd2ce85c2d120081ebaacba6aba,UrbanP,3,3244,Pereira,Risaralda,Destroyed,Residential,Pleiades,2026/08/11 15:54 UTC,Photo-interpretation,© ICube-SERTIT 2026,4.813150062000034,-75.68915168099994,2026-08-21T09:23:55Z,2026-08-31
1bb3d8ca195d626bea942b16e6e64ca8ef606cd2ce85c2d120081ebaacba6aba,UrbanP,4,3244,Pereira,Risaralda,Destroyed,Residential,Pleiades,2026/08/11 15:54 UTC,Photo-interpretation,© ICube-SERTIT 2026,4.813153319000037,-75.68908648199994,2026-08-21T09:23:55Z,2026-08-31
1bb3d8ca195d626bea942b16e6e64ca8ef606cd2ce85c2d120081ebaacba6aba,UrbanP,5,3244,Pereira,Risaralda,Damaged,Residential,Pleiades,2026/08/11 15:54 UTC,Photo-interpretation,© ICube-SERTIT 2026,4.812909397000055,-75.68873209599997,2026-08-21T09:23:55Z,2026-08-31
1bb3d8ca195d626bea942b16e6e64ca8ef606cd2ce85c2d120081ebaacba6aba,UrbanP,6,3244,Pereira,Risaralda,Damaged,Residential,Pleiades,2026/08/11 15:54 UTC,Photo-interpretation,© ICube-SERTIT 2026,4.813694587000043,-75.68654432499994,2026-08-21T09:23:55Z,2026-08-31
1bb3d8ca195d626bea942b16e6e64ca8ef606cd2ce85c2d120081ebaacba6aba,UrbanP,7,3244,Pereira,Risaralda,Damaged,Residential,Pleiades,2026/08/11 15:54 UTC,Photo-interpretation,© ICube-SERTIT 2026,4.813329543000066,-75.68910981399995,2026-08-21T09:23:55Z,2026-08-31
1bb3d8ca195d626bea942b16e6e64ca8ef606cd2ce85c2d120081ebaacba6aba,UrbanP,8,3244,Pereira,Risaralda,Possibly damaged,Residential,Pleiades,2026/08/11 15:54 UTC,Photo-interpretation,© ICube-SERTIT 2026,4.813070907000053,-75.68640120899994,2026-08-21T09:23:55Z,2026-08-31
1bb3d8ca195d626bea942b16e6e64ca8ef606cd2ce85c2d120081ebaacba6aba,UrbanP,9,3244,Pereira,Risaralda,Possibly damaged,Residential,Pleiades,2026/08/11 15:54 UTC,Photo-interpretation,© ICube-SERTIT 2026,4.813469560000044,-75.68695019899997,2026-08-21T09:23:55Z,2026-08-31
