code,aoi_name,ptype,monitoring_number,version_number,category,subcategory,unit,total,affected,total_raw,affected_raw,snapshot_date
EMSR865,Monterìa,DEL,0,2,Built-up,Industrial buildings,ha,104.3,4.1,104.3,4.1,2026-08-15
EMSR865,Monterìa,DEL,0,2,Built-up,Industrial buildings,ha,104.3,4.1,104.3,4.1,2026-08-16
EMSR865,Monterìa,DEL,0,2,Built-up,Industrial buildings,ha,104.3,4.1,104.3,4.1,2026-08-18
EMSR865,Monterìa,DEL,0,2,Built-up,Industrial buildings,ha,104.3,4.1,104.3,4.1,2026-08-21
EMSR865,Monterìa,DEL,0,2,Built-up,Office buildings,ha,1.9,0.2,1.9,0.2,2026-08-15
EMSR865,Monterìa,DEL,0,2,Built-up,Office buildings,ha,1.9,0.2,1.9,0.2,2026-08-16
EMSR865,Monterìa,DEL,0,2,Built-up,Office buildings,ha,1.9,0.2,1.9,0.2,2026-08-18
EMSR865,Monterìa,DEL,0,2,Built-up,Office buildings,ha,1.9,0.2,1.9,0.2,2026-08-21
EMSR865,Monterìa,DEL,0,2,Built-up,Residential Buildings,ha,1039.4,35.3,1039.4,35.3,2026-08-15
EMSR865,Monterìa,DEL,0,2,Built-up,Residential Buildings,ha,1039.4,35.3,1039.4,35.3,2026-08-16
EMSR865,Monterìa,DEL,0,2,Built-up,Residential Buildings,ha,1039.4,35.3,1039.4,35.3,2026-08-18
EMSR865,Monterìa,DEL,0,2,Built-up,Residential Buildings,ha,1039.4,35.3,1039.4,35.3,2026-08-21
EMSR865,Monterìa,DEL,0,2,Built-up,"School, university and research buildings",ha,134.5,7.5,134.5,7.5,2026-08-15
EMSR865,Monterìa,DEL,0,2,Built-up,"School, university and research buildings",ha,134.5,7.5,134.5,7.5,2026-08-16
EMSR865,Monterìa,DEL,0,2,Built-up,"School, university and research buildings",ha,134.5,7.5,134.5,7.5,2026-08-18
EMSR865,Monterìa,DEL,0,2,Built-up,"School, university and research buildings",ha,134.5,7.5,134.5,7.5,2026-08-21
EMSR865,Monterìa,DEL,0,2,Estimated population,None,,870000.0,\N,870000,null,2026-08-15
EMSR865,Monterìa,DEL,0,2,Estimated population,None,,870000.0,\N,870000,null,2026-08-16
EMSR865,Monterìa,DEL,0,2,Estimated population,None,,870000.0,\N,870000,null,2026-08-18
EMSR865,Monterìa,DEL,0,2,Estimated population,None,,870000.0,\N,870000,null,2026-08-21
EMSR865,Monterìa,DEL,0,2,Facilities,Constructions for mining or extraction,ha,25.5,1.3,25.5,1.3,2026-08-15
EMSR865,Monterìa,DEL,0,2,Facilities,Constructions for mining or extraction,ha,25.5,1.3,25.5,1.3,2026-08-16
EMSR865,Monterìa,DEL,0,2,Facilities,Constructions for mining or extraction,ha,25.5,1.3,25.5,1.3,2026-08-18
EMSR865,Monterìa,DEL,0,2,Facilities,Constructions for mining or extraction,ha,25.5,1.3,25.5,1.3,2026-08-21
EMSR865,Monterìa,DEL,0,2,Facilities,"Long-distance pipelines, communication and electricity lines",km,200.2,13.9,200.2,13.9,2026-08-15
EMSR865,Monterìa,DEL,0,2,Facilities,"Long-distance pipelines, communication and electricity lines",km,200.2,13.9,200.2,13.9,2026-08-16
EMSR865,Monterìa,DEL,0,2,Facilities,"Long-distance pipelines, communication and electricity lines",km,200.2,13.9,200.2,13.9,2026-08-18
EMSR865,Monterìa,DEL,0,2,Facilities,"Long-distance pipelines, communication and electricity lines",km,200.2,13.9,200.2,13.9,2026-08-21
EMSR865,Monterìa,DEL,0,2,Facilities,Settling Basin,ha,23.9,18.0,23.9,18.0,2026-08-15
EMSR865,Monterìa,DEL,0,2,Facilities,Settling Basin,ha,23.9,18.0,23.9,18.0,2026-08-16
EMSR865,Monterìa,DEL,0,2,Facilities,Settling Basin,ha,23.9,18.0,23.9,18.0,2026-08-18
EMSR865,Monterìa,DEL,0,2,Facilities,Settling Basin,ha,23.9,18.0,23.9,18.0,2026-08-21
EMSR865,Monterìa,DEL,0,2,Facilities,Sport and recreation constructions,ha,100.7,12.4,100.7,12.4,2026-08-15
EMSR865,Monterìa,DEL,0,2,Facilities,Sport and recreation constructions,ha,100.7,12.4,100.7,12.4,2026-08-16
EMSR865,Monterìa,DEL,0,2,Facilities,Sport and recreation constructions,ha,100.7,12.4,100.7,12.4,2026-08-18
EMSR865,Monterìa,DEL,0,2,Facilities,Sport and recreation constructions,ha,100.7,12.4,100.7,12.4,2026-08-21
EMSR865,Monterìa,DEL,0,2,Flooded area,None,ha,\N,66557.1,"""NA""",66557.1,2026-08-15
EMSR865,Monterìa,DEL,0,2,Flooded area,None,ha,\N,66557.1,"""NA""",66557.1,2026-08-16
EMSR865,Monterìa,DEL,0,2,Flooded area,None,ha,\N,66557.1,"""NA""",66557.1,2026-08-18
EMSR865,Monterìa,DEL,0,2,Flooded area,None,ha,\N,66557.1,"""NA""",66557.1,2026-08-21
EMSR865,Monterìa,DEL,0,2,Land use,Forests ,ha,50492.7,2314.9,50492.7,2314.9,2026-08-15
EMSR865,Monterìa,DEL,0,2,Land use,Forests ,ha,50492.7,2314.9,50492.7,2314.9,2026-08-16
EMSR865,Monterìa,DEL,0,2,Land use,Forests ,ha,50492.7,2314.9,50492.7,2314.9,2026-08-18
EMSR865,Monterìa,DEL,0,2,Land use,Forests ,ha,50492.7,2314.9,50492.7,2314.9,2026-08-21
EMSR865,Monterìa,DEL,0,2,Land use,Heterogeneous agricultural areas ,ha,84739.0,13792.2,84739.0,13792.2,2026-08-15
EMSR865,Monterìa,DEL,0,2,Land use,Heterogeneous agricultural areas ,ha,84739.0,13792.2,84739.0,13792.2,2026-08-16
EMSR865,Monterìa,DEL,0,2,Land use,Heterogeneous agricultural areas ,ha,84739.0,13792.2,84739.0,13792.2,2026-08-18
EMSR865,Monterìa,DEL,0,2,Land use,Heterogeneous agricultural areas ,ha,84739.0,13792.2,84739.0,13792.2,2026-08-21
EMSR865,Monterìa,DEL,0,2,Land use,Inland wetlands ,ha,44173.7,14290.5,44173.7,14290.5,2026-08-15
EMSR865,Monterìa,DEL,0,2,Land use,Inland wetlands ,ha,44173.7,14290.5,44173.7,14290.5,2026-08-16
EMSR865,Monterìa,DEL,0,2,Land use,Inland wetlands ,ha,44173.7,14290.5,44173.7,14290.5,2026-08-18
EMSR865,Monterìa,DEL,0,2,Land use,Inland wetlands ,ha,44173.7,14290.5,44173.7,14290.5,2026-08-21
EMSR865,Monterìa,DEL,0,2,Land use,Other,ha,9775.1,913.7,9775.1,913.7,2026-08-15
EMSR865,Monterìa,DEL,0,2,Land use,Other,ha,9775.1,913.7,9775.1,913.7,2026-08-16
EMSR865,Monterìa,DEL,0,2,Land use,Other,ha,9775.1,913.7,9775.1,913.7,2026-08-18
EMSR865,Monterìa,DEL,0,2,Land use,Other,ha,9775.1,913.7,9775.1,913.7,2026-08-21
EMSR865,Monterìa,DEL,0,2,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,35245.8,226707.3,35245.8,2026-08-15
EMSR865,Monterìa,DEL,0,2,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,35245.8,226707.3,35245.8,2026-08-16
EMSR865,Monterìa,DEL,0,2,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,35245.8,226707.3,35245.8,2026-08-18
EMSR865,Monterìa,DEL,0,2,Land use,Shrub and/or herbaceous vegetation association,ha,226707.3,35245.8,226707.3,35245.8,2026-08-21
EMSR865,Monterìa,DEL,0,2,Maximum of all extents**,None,ha,\N,66557.1,"""NA""",66557.1,2026-08-15
EMSR865,Monterìa,DEL,0,2,Maximum of all extents**,None,ha,\N,66557.1,"""NA""",66557.1,2026-08-16
