paquete_sha,capa,idx,productos,municipio,departamento,departamento_origen,sensor,sensor_date,dano,dano_agrupado,confianza,validacion_campo,event_code,notas,lat,lon,first_seen,snapshot_date
aaec8a6ebbf2c05b9fe017f43705b199637f6389fbe6366f37710a2851deff0d,PHR_20260812_BuildingDamageAsessment_Anserma,0,"4250,4251,4252,4253,4254,4255",Anserma,Caldas,catalogo,Pleiades,20260812,Damage,Damaged Buildings,To Be Evaluated,Not yet field validated,EQ20260810COL,\N,5.2495694390000835,-75.77879185799992,2026-08-21T09:23:47Z,2026-09-01
aaec8a6ebbf2c05b9fe017f43705b199637f6389fbe6366f37710a2851deff0d,PHR_20260812_BuildingDamageAsessment_Anserma,1,"4250,4251,4252,4253,4254,4255",Anserma,Caldas,catalogo,Pleiades,20260812,Possible Damage,Damaged Buildings,To Be Evaluated,Not yet field validated,EQ20260810COL,\N,5.249641172000054,-75.77875344199992,2026-08-21T09:23:47Z,2026-09-01
aaec8a6ebbf2c05b9fe017f43705b199637f6389fbe6366f37710a2851deff0d,PHR_20260812_BuildingDamageAsessment_Anserma,2,"4250,4251,4252,4253,4254,4255",Anserma,Caldas,catalogo,Pleiades,20260812,Possible Damage,Damaged Buildings,To Be Evaluated,Not yet field validated,EQ20260810COL,\N,5.248857616000066,-75.7791815249999,2026-08-21T09:23:47Z,2026-09-01
aaec8a6ebbf2c05b9fe017f43705b199637f6389fbe6366f37710a2851deff0d,PHR_20260812_BuildingDamageAsessment_Anserma,3,"4250,4251,4252,4253,4254,4255",Anserma,Caldas,catalogo,Pleiades,20260812,Possible Damage,Damaged Buildings,To Be Evaluated,Not yet field validated,EQ20260810COL,\N,5.248901654000065,-75.77924208699994,2026-08-21T09:23:47Z,2026-09-01
aaec8a6ebbf2c05b9fe017f43705b199637f6389fbe6366f37710a2851deff0d,PHR_20260812_BuildingDamageAsessment_Anserma,4,"4250,4251,4252,4253,4254,4255",Anserma,Caldas,catalogo,Pleiades,20260812,Possible Damage,Damaged Buildings,To Be Evaluated,Not yet field validated,EQ20260810COL,\N,5.249450732000071,-75.77891272699992,2026-08-21T09:23:47Z,2026-09-01
aaec8a6ebbf2c05b9fe017f43705b199637f6389fbe6366f37710a2851deff0d,PHR_20260812_BuildingDamageAsessment_Anserma,5,"4250,4251,4252,4253,4254,4255",Anserma,Caldas,catalogo,Pleiades,20260812,Possible Damage,Damaged Buildings,To Be Evaluated,Not yet field validated,EQ20260810COL,\N,5.2490507650000495,-75.77906074899994,2026-08-21T09:23:47Z,2026-09-01
aaec8a6ebbf2c05b9fe017f43705b199637f6389fbe6366f37710a2851deff0d,PHR_20260812_BuildingDamageAsessment_Anserma,6,"4250,4251,4252,4253,4254,4255",Anserma,Caldas,catalogo,Pleiades,20260812,Possible Damage,Damaged Buildings,To Be Evaluated,Not yet field validated,EQ20260810COL,\N,5.248758732000056,-75.78066483299995,2026-08-21T09:23:47Z,2026-09-01
aaec8a6ebbf2c05b9fe017f43705b199637f6389fbe6366f37710a2851deff0d,PHR_20260812_BuildingDamageAsessment_Anserma,7,"4250,4251,4252,4253,4254,4255",Anserma,Caldas,catalogo,Pleiades,20260812,Damage,Damaged Buildings,To Be Evaluated,Not yet field validated,EQ20260810COL,\N,5.248204400000077,-75.78078515899995,2026-08-21T09:23:47Z,2026-09-01
aaec8a6ebbf2c05b9fe017f43705b199637f6389fbe6366f37710a2851deff0d,PHR_20260812_BuildingDamageAsessment_Anserma,8,"4250,4251,4252,4253,4254,4255",Anserma,Caldas,catalogo,Pleiades,20260812,Possible Damage,Damaged Buildings,To Be Evaluated,Not yet field validated,EQ20260810COL,\N,5.248185427000067,-75.78052385299992,2026-08-21T09:23:47Z,2026-09-01
aaec8a6ebbf2c05b9fe017f43705b199637f6389fbe6366f37710a2851deff0d,PHR_20260812_BuildingDamageAsessment_Anserma,9,"4250,4251,4252,4253,4254,4255",Anserma,Caldas,catalogo,Pleiades,20260812,Possible Damage,Damaged Buildings,To Be Evaluated,Not yet field validated,EQ20260810COL,\N,5.248290142000087,-75.78056798799992,2026-08-21T09:23:47Z,2026-09-01
